,p_mood,p_creator,p_name,pitch_mean,pitch_variance,timbre_mean,timbre_variance,intensity_mean,intensity_variance,rhythm_mean,rhythm_variance
1137,energetic,uptown_as,Workout Motivation,0.378293651,0.094611409,30.14767659,0.094611409,-18.97040476,15.65947971,0.315762415,2.00E-06
1138,energetic,uptown_as,Workout Motivation,0.260736111,0.091162723,8.889990079,0.091162723,-35.22209524,49.45214867,0.18876324,4.44E-06
1139,energetic,uptown_as,Workout Motivation,0.478232143,0.079689085,-15.94682143,0.079689085,-46.09407143,29.9078349,0.2491174,2.33E-05
1140,energetic,uptown_as,Workout Motivation,0.250827381,0.084713956,36.2591369,0.084713956,-23.13669048,28.68824773,0.14845092,1.46E-06
1141,energetic,uptown_as,Workout Motivation,0.385543651,0.091431815,9.34268254,0.091431815,-37.63811905,69.48991274,0.22860756,0.000175873
1142,energetic,uptown_as,Workout Motivation,0.301132937,0.099165622,12.08892659,0.099165622,-19.90778571,120.3388293,0.28679668,0.010654434
1143,energetic,uptown_as,Workout Motivation,0.305549603,0.087766351,7.408553571,0.087766351,-26.09345238,170.7094579,0.23065504,3.48E-06
1144,energetic,uptown_as,Workout Motivation,0.326005952,0.092986105,10.45357738,0.092986105,-20.39483333,92.29239668,0.20541812,8.55E-07
1145,energetic,uptown_as,Workout Motivation,0.298507937,0.08638505,-5.43606746,0.08638505,-36.47145238,205.0868784,0.29944528,1.16E-05
1146,energetic,uptown_as,Workout Motivation,0.292861111,0.099386088,2.722295635,0.099386088,-20.00833333,65.67931579,0.30872124,1.82E-05
1147,energetic,uptown_as,Workout Motivation,0.341313492,0.107659071,18.17124603,0.107659071,-19.9057619,155.5901188,0.28085864,1.34E-05
1148,energetic,uptown_as,Workout Motivation,0.402940476,0.088018629,16.45672817,0.088018629,-24.76142857,7.246805129,0.17551944,6.42E-06
1149,energetic,uptown_as,Workout Motivation,0.26155754,0.090266836,19.3650377,0.090266836,-22.82361905,19.07484283,0.20407016,2.40E-06
