,song_id,p_mood,p_creator,p_name,pitch_mean,pitch_variance,timbre_mean,timbre_variance,intensity_mean,intensity_variance,rhythm_mean,rhythm_variance
77,3eS1VMcEmq2IUgpaeDysCb,energetic,Spotify,Pumped Pop,0.251420635,0.101854837,-3.136152778,0.101854837,-25.74442857,89.13117406,0.2422972,2.14E-05
78,2j9YmQRxtjuVwb4XN95oT8,energetic,Spotify,Pumped Pop,0.26272619,0.109669615,-3.523654762,0.109669615,-41.34169048,208.0440213,0.1685526,8.14E-07
79,6kls8cSlUyHW2BUOkDJIZE,energetic,Spotify,Pumped Pop,0.206005952,0.080264658,4.381906746,0.080264658,-17.85609524,109.2646429,0.400100917,3.82E-06
80,12x0zQ2X70OVWsM5X4pg2z,energetic,Spotify,Pumped Pop,0.266230159,0.099862945,-2.70046627,0.099862945,-29.4712381,69.63722658,0.3092248,3.37E-05
81,3zzrKCO0OA85eemnlQnQ7c,energetic,Spotify,Pumped Pop,0.305271825,0.10781365,-7.480714286,0.10781365,-23.84152381,103.9153271,0.25903832,0.007496
82,5MvLsT03RBp67RLoeISCdl,energetic,Spotify,Pumped Pop,0.25525,0.084733234,-0.941386905,0.084733234,-22.82557143,27.5056043,0.30000292,3.16E-06
83,2BgEsaKNfHUdlh97KmvFyo,energetic,Spotify,Pumped Pop,0.34778373,0.095507323,11.56877381,0.095507323,-24.7092381,208.6292395,0.3110868,2.88E-05
84,5JEx7HbmvHQQswJCsoo9rA,energetic,Spotify,Pumped Pop,0.236529762,0.090318619,0.108684524,0.090318619,-23.5562619,77.80055405,0.20751604,7.39E-06
85,3frUvGrmGcay91lvFbOgsN,energetic,Spotify,Pumped Pop,0.275220238,0.090311484,13.36750198,0.090311484,-26.7955,149.3475155,0.28577624,7.01E-06
86,1Y9cAYTmyWJCcmfqdG2I29,energetic,Spotify,Pumped Pop,0.211353175,0.08391275,-6.236380952,0.08391275,-25.61252381,84.9232604,0.267877,8.46E-06
87,4yJiXq86uM56uIfIZgE440,energetic,Spotify,Pumped Pop,0.239652778,0.093317758,4.946345238,0.093317758,-24.26685714,80.01810339,0.30003824,2.04E-06
88,0mjAU3yKR1QnXnHtjGJqTM,energetic,Spotify,Pumped Pop,0.286970238,0.084682959,-2.307204365,0.084682959,-24.50421429,83.6760251,0.24789228,1.54E-05
89,776xH04Us0YBTdspg6C1cP,energetic,Spotify,Pumped Pop,0.232996032,0.089150115,-4.630130952,0.089150115,-31.3322381,85.74297692,0.1612346,1.39E-06
90,7pWK1kMgHy5lNNiIfuRbkP,energetic,Spotify,Pumped Pop,0.238702381,0.08622011,-0.410138889,0.08622011,-23.95121429,36.37796783,0.2520924,3.59E-06
91,5yY9lUy8nbvjM1Uyo1Uqoc,energetic,Spotify,Power Workout,0.196136905,0.101341502,0.977988095,0.101341502,-34.9142381,45.32476219,0.18453104,1.26E-05
92,6wJYhPfqk3KGhHRG76WzOh,energetic,Spotify,Power Workout,0.287087302,0.108578625,-3.639670635,0.108578625,-30.59783333,57.96629717,0.30300436,5.79E-07
93,3QzAOrNlsabgbMwlZt7TAY,energetic,Spotify,Power Workout,0.316589286,0.085405578,13.53882937,0.085405578,-35.1157381,11.72923869,0.30902104,6.62E-06
94,3eekarcy7kvN4yt5ZFzltW,energetic,Spotify,Power Workout,0.275892857,0.110304251,-8.738128968,0.110304251,-25.77497619,9.126636951,0.39123308,3.32E-05
95,3Q6F8RByyhRTJpRtZLY3cg,energetic,Spotify,Power Workout,0.381728175,0.092915025,15.94993651,0.092915025,-25.91066667,55.90193672,0.20688588,7.82E-07
96,5ry2OE6R2zPQFDO85XkgRb,energetic,Spotify,Power Workout,0.253744048,0.098284974,-5.216861111,0.098284974,-23.12054762,24.40023533,0.29901852,8.15E-06
97,0fySG6A6qLE8IvDpayb5bM,energetic,Spotify,Power Workout,0.298325397,0.114291401,-0.012900794,0.114291401,-19.74114286,101.0285545,0.19480064,1.72E-06
98,0nbXyq5TXYPCO7pr3N8S4I,energetic,Spotify,Power Workout,0.322535714,0.080822937,11.93356548,0.080822937,-27.43369048,55.16322085,0.25628952,1.31E-06
99,56AMYGJzxBO6p8v0wEe9de,energetic,Spotify,Power Workout,0.332285714,0.110127314,18.58351984,0.110127314,-26.80511905,99.4612382,0.26785472,1.60E-06
100,598yNsG1JFrGd4n2kMoz7F,energetic,Spotify,Power Workout,0.283521825,0.094556878,14.30283333,0.094556878,-33.45519048,86.79032538,0.20976336,1.16E-06
101,2IRZnDFmlqMuOrYOLnZZyc,energetic,Spotify,Power Workout,0.260992063,0.099305606,17.00102183,0.099305606,-25.87747619,87.96482952,0.348839,1.10E-06
102,6Ozh9Ok6h4Oi1wUSLtBseN,energetic,Spotify,Power Workout,0.264926587,0.099083623,1.59655754,0.099083623,-21.78069048,50.67958763,0.23758334,0.006295048
103,07KXEDMj78x68D884wgVEm,energetic,Spotify,Power Workout,0.296013889,0.094579044,26.77310317,0.094579044,-34.06552381,56.59649874,0.30686004,1.30E-05
104,2xLMifQCjDGFmkHkpNLD9h,energetic,Spotify,Power Workout,0.33034127,0.085086237,13.83742063,0.085086237,-13.10152381,7.378545963,0.19385784,1.19E-05
105,55CHeLEfn5iJ0IIkgaa4si,energetic,Spotify,Power Workout,0.389575397,0.104657986,4.495486111,0.104657986,-25.68771429,118.2469881,0.17746788,1.75E-06
106,3VyjsVV24RmBIbWJAeUJNu,energetic,Spotify,Power Workout,0.281345238,0.083963232,2.359375,0.083963232,-27.52895238,46.05464068,0.23383384,5.27E-06
107,5MPPttjfGap2C6j6eKcO6J,energetic,Spotify,Power Workout,0.35789881,0.10712157,10.96400794,0.10712157,-22.76452381,93.90538499,0.27780568,7.68E-07
108,2ZrAjMSmlbDIil0JaVgTHh,energetic,Spotify,Power Workout,0.251200397,0.094145846,5.088954365,0.094145846,-23.58511905,77.68021386,0.24996956,1.03E-06
109,39Yp9wwQiSRIDOvrVg7mbk,energetic,Spotify,Power Workout,0.238623016,0.095477559,2.838644841,0.095477559,-25.29861905,16.90275697,0.23089482,0.005938109
110,3kW4z2pIj5VY5fLjBrMRL5,energetic,Spotify,Power Workout,0.25944246,0.091419834,1.379281746,0.091419834,-28.1595,23.6431644,0.19314344,6.18E-06
111,7bKCapbOEqPzxkgNfshmj2,energetic,Spotify,Power Workout,0.33815873,0.114477358,-24.00685119,0.114477358,-30.51609524,24.51833506,0.1936096,1.16E-06
112,733c1CWmIGymoQXdp7Us88,energetic,Spotify,Power Workout,0.25214881,0.094631546,5.787287698,0.094631546,-25.99002381,122.3832425,0.22472958,0.005624562
113,7EAaSaj1OgZgMX5yZyFXFC,energetic,Spotify,Power Workout,0.276027778,0.112144087,32.12008135,0.112144087,-26.27964286,118.9503967,0.28572596,8.13E-07
114,6gBFPUFcJLzWGx4lenP6h2,energetic,Spotify,Power Workout,0.26646627,0.090797255,4.068984127,0.090797255,-25.89852381,43.00232191,0.23078492,1.46E-06
115,0UPBidRYcgJ2mjZlk08V8x,energetic,Spotify,Power Workout,0.280117063,0.081819559,4.519940476,0.081819559,-27.63416667,41.14952658,0.3280198,0.003372671
116,2Ec33AVlkTTq8BHFgBTdQs,energetic,Spotify,Power Workout,0.290609127,0.096322887,4.835138889,0.096322887,-37.63042857,91.93286464,0.2190228,9.35E-07
117,6vN77lE9LK6HP2DewaN6HZ,energetic,Spotify,Power Workout,0.300795635,0.105156266,1.975799603,0.105156266,-27.90945238,113.1648348,0.25045556,6.35E-06
118,5IaHrVsrferBYDm0bDyABy,energetic,Spotify,Power Workout,0.336946429,0.124782166,-11.63110714,0.124782166,-26.95385714,109.5543955,0.3061954,1.77E-06
119,0lSZh5W0wDeurkGzLYY6hf,energetic,Spotify,Power Workout,0.29419246,0.091964211,7.880007937,0.091964211,-19.17283333,41.16382809,0.25195996,2.63E-06
120,75dLEqanQTupF3dtP9exT5,energetic,Spotify,Power Workout,0.451378968,0.070983715,11.44134722,0.070983715,-21.69852381,48.36993177,0.19999212,3.51E-06
121,4dZTZbmJBCCofAExHwefda,energetic,Spotify,Power Workout,0.321390873,0.105901451,12.0222123,0.105901451,-32.43414286,179.4071283,0.20135576,3.14E-07
122,2GGMabyHXnJmjY6CXhhB2e,energetic,Spotify,Power Workout,0.28397619,0.097358449,12.42027183,0.097358449,-33.5512381,97.49217814,0.23030188,4.81E-06
123,0HIj0uo7zaFIpkzUIkDlmL,energetic,Spotify,Power Workout,0.355384921,0.120634416,-5.413660714,0.120634416,-25.23442857,127.8749133,0.28306336,1.41E-06
124,7l3E7lcozEodtVsSTCkcaA,energetic,Spotify,Power Workout,0.260857143,0.095468966,13.75170437,0.095468966,-31.00319048,224.9455086,0.30575884,2.00E-05
125,3yIfEnGku3jurcgBVO6dOF,energetic,Spotify,Power Workout,0.340813492,0.098213086,19.27176984,0.098213086,-25.5482619,136.5989923,0.23996664,4.30E-06
126,04MLEeAMuV9IlHEsD8vF6A,energetic,Spotify,Power Workout,0.26155754,0.090266836,19.3650377,0.090266836,-22.82361905,19.07484283,0.20407016,2.40E-06
127,6ZBqCuo8fUGSZJGYR9LNwL,energetic,Spotify,Power Workout,0.417507937,0.077751551,18.24941865,0.077751551,-24.78611905,84.17221762,0.2941085,5.85E-06
128,0WLhJ2NBuZHuoHY8pLVHJ0,energetic,Spotify,Power Workout,0.237345238,0.102346894,22.7181746,0.102346894,-26.571,70.04581985,0.29998348,1.81E-06
129,3RZftiuTcLOqpsd8ZlwNhr,energetic,Spotify,Power Workout,0.283174603,0.08892158,7.267630952,0.08892158,-29.28678571,62.78359295,0.20721868,3.22E-06
130,09TZsMHXEtQkdmMJZPLKup,energetic,Spotify,Power Workout,0.407529762,0.076137009,4.801329365,0.076137009,-38.1952619,82.04538766,0.2097666,1.13E-06
131,79s5XnCN4TJKTVMSmOx8Ep,energetic,Spotify,Power Workout,0.539275794,0.067325703,17.244375,0.067325703,-22.4287619,25.67351672,0.24510016,0.001778072
132,0PXukVbYpvz40KcEFKnIw7,energetic,Spotify,Power Workout,0.29534127,0.092402989,0.943918651,0.092402989,-23.31738095,99.44473127,0.27723736,5.25E-06
133,5FkoSXiJPKTNyYgALRJFhD,energetic,Spotify,Power Workout,0.321537698,0.10219535,6.407904762,0.10219535,-20.00752381,22.71417587,0.352817268,2.03E-05
134,2u3EyuCqqV31woqGvO9LBz,energetic,Spotify,Power Workout,0.253992063,0.13252398,-12.443625,0.13252398,-27.52328571,37.81825294,0.24197972,0.006520895
135,3BXXkwyhsHM0EPApHMhQC5,energetic,Spotify,Power Workout,0.278186508,0.094759742,0.702825397,0.094759742,-29.87552381,98.15274948,0.20976776,7.00E-07
136,6YfTl5YupXOQBKiJJLrxcw,energetic,Spotify,Power Workout,0.381609127,0.099481511,8.134289683,0.099481511,-18.00645238,6.893997229,0.1828976,3.47E-07
137,3A2yGHWIzmGEIolwonU69h,energetic,Spotify,Power Workout,0.255253968,0.10459491,-10.21499405,0.10459491,-32.12080952,76.08499772,0.30926476,1.07E-06
138,44ZJ4hLD5onikKsVLQaILr,energetic,Spotify,Power Workout,0.227640873,0.102200569,3.77718254,0.102200569,-29.82807143,50.53882251,0.15959948,7.11E-06
139,6AyWdCtEn1DdxjnxPeojR2,energetic,Spotify,Power Workout,0.185230159,0.091200702,16.80761706,0.091200702,-28.7635,45.8353805,0.20404884,9.34E-07
140,1JkrD47SDpAbyvqKtolcea,energetic,Spotify,Power Workout,0.237450397,0.101581155,4.971402778,0.101581155,-23.4832381,40.93266019,0.28835592,4.92E-06
141,3QzAOrNlsabgbMwlZt7TAY,energetic,Spotify,Locked In,0.316589286,0.085405578,13.53882937,0.085405578,-35.1157381,11.72923869,0.30902104,6.62E-06
142,5yY9lUy8nbvjM1Uyo1Uqoc,energetic,Spotify,Locked In,0.196136905,0.101341502,0.977988095,0.101341502,-34.9142381,45.32476219,0.18453104,1.26E-05
143,3Q6F8RByyhRTJpRtZLY3cg,energetic,Spotify,Locked In,0.381728175,0.092915025,15.94993651,0.092915025,-25.91066667,55.90193672,0.20688588,7.82E-07
144,6wJYhPfqk3KGhHRG76WzOh,energetic,Spotify,Locked In,0.287087302,0.108578625,-3.639670635,0.108578625,-30.59783333,57.96629717,0.30300436,5.79E-07
145,6Ozh9Ok6h4Oi1wUSLtBseN,energetic,Spotify,Locked In,0.264926587,0.099083623,1.59655754,0.099083623,-21.78069048,50.67958763,0.23758334,0.006295048
146,0nbXyq5TXYPCO7pr3N8S4I,energetic,Spotify,Locked In,0.322535714,0.080822937,11.93356548,0.080822937,-27.43369048,55.16322085,0.25628952,1.31E-06
147,5ry2OE6R2zPQFDO85XkgRb,energetic,Spotify,Locked In,0.253744048,0.098284974,-5.216861111,0.098284974,-23.12054762,24.40023533,0.29901852,8.15E-06
